# Equilibrium carrier concentrations
# Position(um)  n(cm^-3)  p(cm^-3)
# LWIR
11.475000  5.0000000001e+15  7.9999999999e+04
11.575000  5.0000000001e+15  7.9999999999e+04
11.675000  5.0000000001e+15  7.9999999999e+04
11.775000  5.0000000001e+15  7.9999999999e+04
11.875000  5.0000000001e+15  7.9999999999e+04
11.975000  5.0000000001e+15  7.9999999999e+04
12.075000  5.0000000001e+15  7.9999999999e+04
12.175000  5.0000000001e+15  7.9999999999e+04
12.275000  5.0000000001e+15  7.9999999999e+04
12.375000  5.0000000001e+15  7.9999999999e+04
12.475000  5.0000000001e+15  7.9999999999e+04
12.575000  5.0000000001e+15  7.9999999999e+04
12.675000  5.0000000001e+15  7.9999999999e+04
12.775000  5.0000000001e+15  7.9999999999e+04
12.875000  5.0000000001e+15  7.9999999999e+04
12.975000  5.0000000001e+15  7.9999999999e+04
13.075000  5.0000000001e+15  7.9999999999e+04
13.175000  5.0000000001e+15  7.9999999999e+04
13.250000  4.9999999257e+15  8.0000001188e+04
13.350000  4.0480323016e+11  9.8813440753e+08
# VLWIR
13.350000  1.0524883984e+16  2.5691494596e+13
13.400000  8.2697491928e+14  3.2697484978e+14
13.451103  8.2697486947e+14  3.2697486947e+14
13.503333  8.2697486947e+14  3.2697486947e+14
13.556716  8.2697486947e+14  3.2697486947e+14
13.611275  8.2697486947e+14  3.2697486947e+14
13.667039  8.2697486947e+14  3.2697486947e+14
13.724032  8.2697486947e+14  3.2697486947e+14
13.782283  8.2697486947e+14  3.2697486947e+14
13.841819  8.2697486947e+14  3.2697486947e+14
13.902668  8.2697486947e+14  3.2697486947e+14
13.964859  8.2697486947e+14  3.2697486947e+14
14.028422  8.2697486947e+14  3.2697486947e+14
14.093387  8.2697486947e+14  3.2697486947e+14
14.159785  8.2697486947e+14  3.2697486947e+14
14.227648  8.2697486947e+14  3.2697486947e+14
14.297008  8.2697486947e+14  3.2697486947e+14
14.367898  8.2697486947e+14  3.2697486947e+14
14.440352  8.2697486947e+14  3.2697486947e+14
14.514404  8.2697486947e+14  3.2697486947e+14
14.590089  8.2697486947e+14  3.2697486947e+14
14.667444  8.2697486947e+14  3.2697486947e+14
14.746505  8.2697486947e+14  3.2697486947e+14
14.827310  8.2697486947e+14  3.2697486947e+14
14.909898  8.2697486947e+14  3.2697486947e+14
14.994308  8.2697486947e+14  3.2697486947e+14
15.080579  8.2697486947e+14  3.2697486947e+14
15.168754  8.2697486947e+14  3.2697486947e+14
15.258873  8.2697486947e+14  3.2697486947e+14
15.350981  8.2697486947e+14  3.2697486947e+14
15.445120  8.2697486947e+14  3.2697486947e+14
15.541336  8.2697486947e+14  3.2697486947e+14
15.639674  8.2697486947e+14  3.2697486947e+14
15.740182  8.2697486947e+14  3.2697486947e+14
15.842906  8.2697486947e+14  3.2697486947e+14
15.947897  8.2697486947e+14  3.2697486947e+14
16.055203  8.2697486947e+14  3.2697486947e+14
16.164877  8.2697486947e+14  3.2697486947e+14
16.276970  8.2697486947e+14  3.2697486947e+14
16.391535  8.2697486947e+14  3.2697486947e+14
16.508628  8.2697486947e+14  3.2697486947e+14
16.628304  8.2697486947e+14  3.2697486947e+14
16.750619  8.2697486947e+14  3.2697486947e+14
16.875633  8.2697486947e+14  3.2697486947e+14
17.003404  8.2697486947e+14  3.2697486947e+14
17.133994  8.2697486947e+14  3.2697486947e+14
17.267464  8.2697486947e+14  3.2697486947e+14
17.403879  8.2697486947e+14  3.2697486947e+14
17.543303  8.2697486947e+14  3.2697486947e+14
17.685802  8.2697486947e+14  3.2697486947e+14
17.831445  8.2697486947e+14  3.2697486947e+14
17.980300  8.2697486947e+14  3.2697486947e+14
18.132439  8.2697486947e+14  3.2697486947e+14
18.287934  8.2697486947e+14  3.2697486947e+14
18.446859  8.2697486947e+14  3.2697486947e+14
18.609290  8.2697486947e+14  3.2697486947e+14
18.775304  8.2697486947e+14  3.2697486947e+14
18.944980  8.2697486947e+14  3.2697486947e+14
19.118398  8.2697486947e+14  3.2697486947e+14
19.295642  8.2697486947e+14  3.2697486947e+14
19.476796  8.2697486947e+14  3.2697486947e+14
19.661946  8.2697486947e+14  3.2697486947e+14
19.851180  8.2697486947e+14  3.2697486947e+14
20.044589  8.2697486947e+14  3.2697486947e+14
20.242263  8.2697486947e+14  3.2697486947e+14
20.350000  8.2697486947e+14  3.2697486947e+14
20.550000  8.2697486947e+14  3.2697486947e+14
20.747059  8.2697486947e+14  3.2697486947e+14
20.941220  8.2697486947e+14  3.2697486947e+14
21.132525  8.2697486947e+14  3.2697486947e+14
21.321018  8.2697486947e+14  3.2697486947e+14
21.506738  8.2697486947e+14  3.2697486947e+14
21.689727  8.2697486947e+14  3.2697486947e+14
21.870025  8.2697486947e+14  3.2697486947e+14
22.047672  8.2697486947e+14  3.2697486947e+14
22.222706  8.2697486947e+14  3.2697486947e+14
22.395166  8.2697486947e+14  3.2697486947e+14
22.565090  8.2697486947e+14  3.2697486947e+14
22.732515  8.2697486947e+14  3.2697486947e+14
22.897479  8.2697486947e+14  3.2697486947e+14
23.060016  8.2697486947e+14  3.2697486947e+14
23.220162  8.2697486947e+14  3.2697486947e+14
23.377954  8.2697486947e+14  3.2697486947e+14
23.533425  8.2697486947e+14  3.2697486947e+14
23.686610  8.2697486947e+14  3.2697486947e+14
23.837543  8.2697486947e+14  3.2697486947e+14
23.986255  8.2697486947e+14  3.2697486947e+14
24.132781  8.2697486947e+14  3.2697486947e+14
24.277152  8.2697486947e+14  3.2697486947e+14
24.419399  8.2697486947e+14  3.2697486947e+14
24.559555  8.2697486947e+14  3.2697486947e+14
24.697650  8.2697486947e+14  3.2697486947e+14
24.833714  8.2697486947e+14  3.2697486947e+14
24.967777  8.2697486947e+14  3.2697486947e+14
25.099869  8.2697486947e+14  3.2697486947e+14
25.230018  8.2697486947e+14  3.2697486947e+14
25.358253  8.2697486947e+14  3.2697486947e+14
25.484602  8.2697486947e+14  3.2697486947e+14
25.609093  8.2697486947e+14  3.2697486947e+14
25.731753  8.2697486947e+14  3.2697486947e+14
25.852610  8.2697486947e+14  3.2697486947e+14
25.971689  8.2697486947e+14  3.2697486947e+14
26.089017  8.2697486947e+14  3.2697486947e+14
26.204620  8.2697486947e+14  3.2697486947e+14
26.318523  8.2697486947e+14  3.2697486947e+14
26.430750  8.2697486947e+14  3.2697486947e+14
26.541327  8.2697486947e+14  3.2697486947e+14
26.650279  8.2697486947e+14  3.2697486947e+14
26.757627  8.2697486947e+14  3.2697486947e+14
26.863398  8.2697486947e+14  3.2697486947e+14
26.967612  8.2697486947e+14  3.2697486947e+14
27.070294  8.2697486947e+14  3.2697486947e+14
27.171467  8.2697486947e+14  3.2697486947e+14
27.250000  8.2697486712e+14  3.2697487040e+14
27.350000  5.4080000000e+14  5.0000000000e+14
